"58325","Paul Seydor","associate film editor"
"58326","Jose Antonio Torres","assistant film editor"
"58327","Deborah Zeitman","first assistant film editor"
"58328","Joel Glickman","unit production manager"
"58329","Silvia Abascal","hair stylist"
"58330","Cheri Minns","assistant makeup artist"
"58331","Brad Wilder","makeup artist"
"58332","Barbara Adamski","property master"
"58333","Robert DePatis","construction coordinator"
"58334","Guy Douglass","assistant property master"
"58335","Don Ferguson","lead man"
"58336","Frank Kilmartin","carpenter"
"58337","Len Morganti","storyboard artist"
"58338","David Nichols","visual consultant"
"58339","D.A. Zingelewicz","painter (uncredited)"
"58340","Roger Spottiswoode",NULL
"58341","Marc E. Meyer Jr.",NULL
"58342","Howard A. Small","transportation captain"
"58343","Wayne Stone","transportation coordinator"
"58344","David Rubin",NULL
"58345","Lynn Stalmaster",NULL
"58346","Dave Grusin",NULL
"58347","Kurt Luedtke","(written by)"
"58348","David Rayfiel","(uncredited)"
"58349","Sheldon Kahn",NULL
"58350","Ralph Babcock","boom man"
"58351","Neil Burrow","sound editor"
"58352","Tom E. Dahl","re-recording mixer (as Tom Dahl)"
"58353","Gordon Davidson","supervising sound editor"
"58354","Les Fresholtz","re-recording mixer"
"58355","Bert Hallberg","sound mixer"
"58356","Arthur Piantadosi","re-recording mixer"
"58357","Robert A. Reich","sound editor"
"58358","Chester Slomka","sound editor (as Chester L. Slomka)"
"58359","Edward Aiona","property master (as Edward A. Aiona)"
"58360","Robert Boettcher","assistant property master"
"58361","Willie Marceau","construction foreman"
"58362","William S. Maxwell III","leadman"
"58363","John A. Scott III","leadman"
"58364","Chuck Stein","construction coordinator"
"58365","Lois Freeman","associate editor"
"58366","Joe Mosca","assistant editor"
"58367","Rafael Elortegui","second assistant director"
"58368","David McGiffert","assistant director"
"58369","Robert M. Moore","costumer: men (as Bob Moore)"
"58370","Rita Salazar","costumer: women"
"58371","Michael McDuffee","transportation captain (as Mike McDuffee)"
"58372","Gerald R. Molen","transportation coordinator"
"58373","Hank Scelza","transportation captain: Miami"
"58374","Wilma Garscadden-Gahret","script supervisor"
"58375","Patricia Matzdorff","production coordinator"
"58376","Penny McCarthy","assistant auditor"
"58377","Ned McLeod","location manager"
"58378","Ken Ryan","auditor"
"58379","Beverly Walker","publicist"
"58380","Ned McLeod","additional footage director (uncredited)"
"58381","Sydney Pollack",NULL
"58382","James Glennon","camera operator"
"58383","Rob Hahn","camera assistant"
"58384","Gary Holt","gaffer"
"58385","Bob Rose","key grip"
"58386","Beau Gillespie","video playback operator (uncredited)"
"58387","Martin Pitts","camera operator: second unit (uncredited)"
"58388","Tim Ryan","dolly grip (uncredited)"
"58389","Else Blangsted","music editor"
"58390","Dan Wallin","music scoring mixer"
"58391","James Thatcher","musician: French horn (uncredited)"
"58392","John Franco Jr.",NULL
"58393","Bernie Pollack",NULL
"58394","Ronald L. Schwary","production manager"
"58395","Terence Marsh",NULL
"58396","Owen Roizman",NULL
"58397","Terri Cannon","hairstylist"
"58398","Don L. Cash","makeup artist"
"58399","Dorothy J. Pearl","makeup artist: Ms. Field (as Dorothy Pearl)"
"58400","Sydney Pollack","producer"
"58401","Ronald L. Schwary","executive producer"
