Ann Lynn,2,"The Love Machine, Stand Up and Be Counted"
John Hancock,2,"The In-Laws, Brother John"
Bill Zuckert,2,"The Comic, Blazing Saddles"
Karen Ford,2,"An Unmarried Woman, Willie & Phil"
Tom Holland,2,"Model Shop, A Walk in the Spring Rain"
Lars Hensen,2,"Mame, Harry and Walter Go to New York"
Paul Koslo,2,"The Drowning Pool, Freebie and the Bean"
John Ritter,2,"Nickelodeon, Americathon"
Gene Kelly,2,"40 Carats, Viva Knievel!"
Marc Wilder,2,"Funny Girl, Mame"
Ryan O'Neal,2,"Nickelodeon, The Thief Who Came to Dinner"
Joyce Easton,2,"Bob & Carol & Ted & Alice, The Comic"
Will Geer,2,"In Cold Blood, Brother John"
Dub Taylor,2,"Flash and the Firecat, The Best of Times"
Gregory Sierra,2,"The Thief Who Came to Dinner, Getting Straight"
David Opatoshu,2,"Americathon, A Walk in the Spring Rain"
Hank Garrett,2,"Three Days of the Condor, Exorcist II: The Heretic"
Peter Halton,2,"The Mad Room, Stand Up and Be Counted"
Don 'Red' Barry,2,"The Swarm, From Noon Till Three"
Leslie Nielsen,2,"Wrong Is Right, Viva Knievel!"
Jackie Cooper,2,"The Love Machine, Stand Up and Be Counted"
Alexander Zale,2,"Firefox, Wrong Is Right"
Seamon Glass,2,"Harry and Walter Go to New York, Blazing Saddles"
George Memmoli,2,"Americathon, St. Ives"
Angel Pine,2,"The Comic, Stand Up and Be Counted"
Hap Lawrence,2,"Altered States, The Best of Times"
Michael St. Angel,2,"Doctors' Wives, The Love Machine"
Leigh French,2,"The Drowning Pool, History of the World: Part I"
Mary Linda Rapelye,2,"In Cold Blood, Marooned"
Basil Hoffman,2,"The Electric Horseman, All the President's Men"
Keith McConnell,2,"Wrong Is Right, Time After Time"
Gary Lockwood,2,"Model Shop, Stand Up and Be Counted"
Michael Caine,2,"The Swarm, Harry and Walter Go to New York"
Jeff Corey,2,"In Cold Blood, Getting Straight"
Robert Walden,2,"Capricorn One, All the President's Men"
Leslie Summers,2,"Doctors' Wives, Stand Up and Be Counted"
Marrietta Schmidt,2,"Freebie and the Bean, Blazing Saddles"
Ken Grant,2,"Sgt. Pepper's Lonely Hearts Club Band, Mame"
Rusty Blitz,2,"Nickelodeon, The Frisco Kid"
Burt Reynolds,2,"Nickelodeon, Shamus"
Tony Regan,2,"Funny Girl, Blazing Saddles"
John Myhers,2,"1776, History of the World: Part I"
Ernie F. Orsatti,2,"The Swarm, Viva Knievel!"
Robert Ball,2,"Nickelodeon, The Comic"
Evel Knievel,2,"Freebie and the Bean, Viva Knievel!"
Ed Peck,2,"The Comic, Blume in Love"
Clark Ross,2,"Funny Girl, Blazing Saddles"
Robert Donner,2,"Fools' Parade, Bite the Bullet"
