"22280","Jean Seberg"
"22281","Richard Kiley"
"22282","Charles McGraw"
"22283","Madeleine Sherwood"
"22284","Robert F. Lyons"
"22285","Frank Marth"
"22286","Marj Dusay"
"22287","Paul McGrath"
"22288","Stewart Moss"
"22289","Isabel Sanford"
"22290","Dana Elcar"
"22291","Harry Lewis"
"22292","Mildred Trares"
"22293","Robin Raymond"
"22294","Phyllis Hill"
"22295","S. John Launer"
"22296","Jock MacKelvie"
"22297","Richard Guizon"
"22298","Jack Grimes"
"22299","Logan Ramsey"
"22300","Douglas Henderson"
"22301","Gene Boland"
"22302","Vince Flaherty"
"22303","Robert Shaw"
"22304","Sally Kellerman"
"22305","Mary Ure"
"22306","Sondra Locke"
"22307","Signe Hasso"
"22308","Mitchell Ryan"
"22309","Gordon Anderson"
"22310","Victoria Risk"
"22311","Leonard Crofoot"
"22312","Michael St. Clair"
"22313","Liam Dunn"
"22314","Michelle Marvin"
"22315","Michele Montau"
"22316","Dustin Hoffman"
"22317","Jessica Lange"
"22318","Teri Garr"
"22319","Dabney Coleman"
"22320","Bill Murray"
"22321","Geena Davis"
"22322","Doris Belack"
"22323","Ellen Foley"
"22324","Peter Gatto"
"22325","Lynne Thigpen"
"22326","Ronald L. Schwary"
"22327","Debra Mooney"
"22328","Amy Lawrence"
"22329","Kenny Sinclair"
"22330","Susan Merson"
"22331","Michael Ryan"
"22332","Robert D. Wilson"
"22333","James Carruthers"
"22334","Estelle Getty"
"22335","Christine Ebersole"
"22336","Bernie Pollack"
"22337","Sam Stoneburner"
"22338","Marjorie Lovett"
"22339","Willy Switkes"
"22340","Gregory Camillucci"
"22341","Barbara Spiegel"
"22342","Tony Craig"
"22343","Walter Cline"
"22344","Suzanne von Schaack"
"22345","Anne Shropshire"
"22346","Pamela Lincoln"
"22347","Mary Donnet"
"22348","Bernie Passeltiner"
"22349","Mallory Jones"
"22350","Patti Cohane"
"22351","Murray Schisgal"
"22352","Greg Gorman"
"22353","Anne Prager"
"22354","John Carpenter"
"22355","Bob Levine"
"22356","Richard Whiting"
"22357","Jim Jansen"
"22358","Susan Egbert"
"22359","Kas Self"
"22360","Tom Mardirosian"
"22361","Richard Wirth"
"22362","Gavin Reed"
"22363","Annie Korzen"
"22364","Ibbits Warriner"
"22365","Lois De Banzie"
"22366","Stephen Prutting"
"22367","Carole Holland"
"22368","Tobin Bell"
"22369","Phillip Borsos"
"22370","Cassandra Danz"
"22371","Jim Dratfield"
"22372","Paul E. Guskin"
"22373","John Kapelos"
"22374","Gene Shalit"
"22375","Andy Warhol"
"22376","Joyce Worsley"
"22377","Michael Sarrazin"
"22378","Norman Burton"
"22379","Gary Busey"
"22380","John Durren"
"22381","Susan Flannery"
"22382","Harvey Jason"
"22383","Steven Keats"
"22384","Tim McIntire"
"22385","Joanne Nail"
"22386","J. Pat O'Malley"
"22387","Tricia O'Neil"
"22388","Lazaro Perez"
"22389","Nicholas Pryor"
"22390","Vaughn Taylor"
"22391","Wally Taylor"
"22392","Colleen Camp"
"22393","Rod Colbin"
"22394","J.J. Fowler"
"22395","David Hinton"
"22396","Ken Scott"
"22397","Joe Tornatore"
"22398","Med Flory"
"22399","Raul Julia"
"22400","Edward Ansara"
"22401","Jay K. Atwater"
"22402","Stephen Blood"
"22403","Chuck Courtney"
"22404","Ed Danus"
"22405","Lou David"
"22406","Wes Dawn"
"22407","Lauren Simon"
"22408","Eddy Donno"
"22409","Ann Doran"
"22410","Elizabeth Fleming"
"22411","Perry Gewirtz"
"22412","Charles J. Hajak"
"22413","Carlton N. Hill"
"22414","Whitey Hughes"
"22415","Gray Johnson"
"22416","Richard Karie"
"22417","John Lawlor"
"22418","Gary Littlejohn"
"22419","John Morton"
"22420","Jack Oliver"
"22421","William E. Pierce"
"22422","Allan Schmidt"
"22423","Dennis J. Setlock"
"22424","Alfred Shelly"
"22425","Don Sides"
"22426","Larry Silvestri"
"22427","Walter R. Smith"
"22428","Linda Vaughn"
"22429","Joel Wolfe"
"22430","James Ray Wyatt"
"22431","Marshall Jay Kaplan"
"22432","Casey Kasem"
"22433","D'Janine King-Lasky"
"22434","Steve Moriarty"
"22435","Robert Mitchum"
"22436","Ken Takakura"
"22437","Herb Edelman"
"22438","Richard Jordan"
"22439","Keiko Kishi"
"22440","Eiji Okada"
"22441","James Shigeta"
"22442","Kyosuke Machida"
"22443","Christina Kokubo"
"22444","Eiji Go"
"22445","Lee Chirillo"
"22446","M. Hisaka"
"22447","William Ross"
"22448","Akiyama"
"22449","Harada"
"22450","Valerie Landsburg"
"22451","Terri Nunn"
"22452","Chick Vennera"
"22453","Donna Summer"
"22454","Ray Vitte"
"22455","Mark Lonow"
"22456","Andrea Howard"
"22457","Jeff Goldblum"
"22458","Robin Menken"
"22459","Debra Winger"
"22460","John Friedrich"
"22461","Paul Jabara"
"22462","Mews Small"
"22463","Chuck Sacci"
"22464","Hilary Beane"
"22465","Otis Day"
"22466","The Commodores"
"22467","Phil Adams"
"22468","Judith Brown"
"22469","Marianne Bunch"
"22470","Tony Cacciotti"
"22471","Jacqueline Carlin"
"22472","Linda Cremeans"
"22473","Gregory V. Karliss"
"22474","Wade Collings"
"22475","Cosie Costa"
"22476","Christine De Lisle"
"22477","MacIntyre Dixon"
"22478","Michael Durrell"
"22479","Al Fann"
"22480","Harry Gold"
"22481","Heidi Gold"
"22482","Nanci L. Hammond"
"22483","Luce Rains"
"22484","Howard Itzkowitz"
"22485","Osko Karaghossian"
"22486","Solomon Karriem"
"22487","Sheila MacKenzie"
"22488","J.W. Bear Martin"
"22489","Shelly Parsons"
"22490","Sherry Peterson"
"22491","Vaya Warren"
"22492","Richard Weinberg"
"22493","Sandra Will"
"22494","Jonathan Wynne"
"22495","Evel Knievel"
"22496","Gene Kelly"
"22497","Lauren Hutton"
"22498","Red Buttons"
"22499","Leslie Nielsen"
"22500","Frank Gifford"
"22501","Eric Olson"
"22502","Sheila Allen"
"22503","Albert Salmi"
"22504","Sidney Clute"
"22505","Robert Tafur"
"22506","Marjoe Gortner"
"22507","Brent Dunsford"
"22508","Johnny Timko"
"22509","Linda Blair"
"22510","Richard Burton"
"22511","Louise Fletcher"
"22512","Max von Sydow"
"22513","Kitty Winn"
"22514","Paul Henreid"
"22515","James Earl Jones"
"22516","Ned Beatty"
"22517","Belinda Beatty"
"22518","Rose Portillo"
"22519","Barbara Cason"
"22520","Tiffany Kinney"
"22521","Joey Green"
"22522","Fiseha Dimetros"
"22523","Ken Renard"
"22524","Hank Garrett"
"22525","Lorry Goldman"
"22526","Bill Grant"
"22527","Shane Butterworth"
"22528","Joely Adams"
"22529","Robert Lussier"
"22530","Charles Parks"
"22531","Richard Paul"
"22532","George Skaff"
"22533","Kelley Karel"
"22534","Karen Knapp"
"22535","Dana Plato"
"22536","Roger Davis"
"22537","Tricia Sembera"
"22538","Richard Kiel"
"22539","Joan Shawlee"
"22540","Tracy Sebastian"
"22541","Gerry Lock"
"22542","Newell Alexander"
"22543","Owen Bush"
"22544","Brent Holden"
"22545","George 'Buck' Flower"
"22546","Link Wyler"
"22547","Ben Sebastian"
"22548","Charles A. Tamburro"
"22549","Walley Pauley"
"22550","Daniel Morrow"
"22551","Henry Bauer"
"22552","Gene Wilder"
"22553","Harrison Ford"
"22554","Val Bisoglio"
"22555","George DiCenzo"
"22556","Leo Fuchs"
"22557","Penny Peyser"
"22558","William Smith"
"22559","Jack Somack"
"22560","Beege Barkette"
"22561","Shay Duffin"
"22562","Walter Janovitz"
"22563","Joe Kapp"
"22564","Clyde Kusatsu"
"22565","Clifford A. Pellow"
"22566","Allan Rich"
"22567","Henry Rowland"
"22568","John Steadman"
"22569","Ian Wolfe"
"22570","Steffen Zacharias"
"22571","Eda Reiss Merin"
"22572","Kenny Selko"
"22573","Warren Selko"
"22574","John Bleifer"
"22575","Ben Kahlon"
"22576","Michael Elias"
"22577","Rolfe Sedan"
"22578","Sam Nudell"
"22579","Gabriel Curtiz"
"22580","Larry Gelman"
"22581","Zachary Berger"
"22582","Martin Garner"
"22583","Herbert Mitchel"
"22584","David Bradley"
"22585","Richard Dunham"
"22586","Bret Briggs"
"22587","Brad Briggs"
"22588","Chip Frye"
"22589","June Constable"
"22590","Jacques Hampton"
"22591","Roy Kaye"
"22592","Catherine Chase"
"22593","Linda Stearns"
"22594","Heidi Stearns"
"22595","Howard Gudmundson"
"22596","Marty White"
"22597","George Barrows"
"22598","Gloria Hayes"
"22599","Alex Romero"
"22600","Robert Padilla"
"22601","Frank De Vol"
"22602","Alvin Greenman"
"22603","Joe Massengale"
"22604","Richard Kennedy"
"22605","Dick Dickinson"
"22606","Allan Keller"
"22607","Tom Lillard"
"22608","Karl Lukas"
"22609","Young Jue"
"22610","Christine Glazier"
"22611","Hank Robinson"
"22612","Dean Martin"
"22613","Elke Sommer"
"22614","Sharon Tate"
"22615","Nancy Kwan"
"22616","Nigel Green"
"22617","Tina Louise"
"22618","John Larch"
"22619","John Brascia"
"22620","Weaver Levy"
"22621","Wilhelm von Homburg"
"22622","Bill Saito"
"22623","Fuji"
"22624","Pepper Martin"
"22625","Ted Jordan"
"22626","Frank Biro"
"22627","Lynn Borden"
"22628","Whitney Chase"
"22629","Peter Chin"
"22630","David Chow"
"22631","Kenya Coburn"
"22632","Bill Couch"
"22633","James Daris"
"22634","Noel Drayton"
"22635","Sheila English"
"22636","Harry Fleer"
"22637","Tony Gardner"
"22638","Harry Geldard"
"22639","Tony Giorgio"
"22640","Joe Gray"
"22641","Rex Holman"
"22642","Brick Huston"
"22643","Josephine James"
"22644","Kenner G. Kemp"
"22645","Jon Kowal"
"22646","Joe Lewis"
"22647","James Lloyd"
"22648","Carey Loftin"
"22649","Fredricka Meyers"
"22650","Celeste Michaels"
"22651","Stephen Mitchell"
"22652","David Montresor"
"22653","Byron Morrow"
"22654","Chuck Norris"
"22655","Ed Parker"
"22656","Cara Peters"
"22657","J.B. Pick"
"22658","Allen Pinson"
"22659","Bartlett Robinson"
"22660","Bill M. Ryusaki"
"22661","Joe Sawyers"
"22662","Jeffrey Sayre"
"22663","Fred Stromsoe"
"22664","Frank Tallman"
"22665","Vincent Van Lynn"
"22666","Charles Bronson"
"22667","Jill Ireland"
"22668","Douglas Fowley"
"22669","Stan Haze"
"22670","Damon Douglas"
"22671","Hector Morales"
"22672","Bert Williams"
